Date,Closing Index Value,Total Market Capitalization
2021-03-29,3971.09,33645930903513.26
2021-03-30,3958.55,33539683003432.92
2021-03-31,3972.89,33661181798261.64
2021-04-01,4019.87,34059230151194.22
2021-04-05,4077.91,34550986779636.26
2021-04-06,4073.94,34517350083996.79
2021-04-07,4079.95,34568271127017.75
2021-04-08,4097.17,34714171353443.87
2021-04-09,4128.8,34982163465050.04
2021-04-12,4127.99,34975300562413.26
2021-04-13,4141.59,35090529544956.54
2021-04-14,4124.66,34947086407128.77
2021-04-15,4170.42,35334798042509.68
2021-04-16,4185.47,35462312468044.7
2021-04-19,4163.26,35274133372288.36
2021-04-20,4134.94,35034185961580.6
2021-04-21,4173.42,35360216200423.64
2021-04-22,4134.98,35034524870352.78
2021-04-23,4180.17,35417407055730.04
2021-04-26,4187.62,35480528814549.7
2021-04-27,4186.72,35472903367175.52
2021-04-28,4183.18,35442909940837.04
2021-04-29,4211.47,35682603169965.67
2021-04-30,4181.17,35425879775034.7
2021-05-03,4192.66,35523231319845.16
2021-05-04,4164.66,35285995179314.88
2021-05-05,4167.59,35310820246877.52
2021-05-06,4201.62,35599146884814.84
2021-05-07,4232.6,35861631728872.98
2021-05-10,4188.43,35487391717186.48
2021-05-11,4152.1,35179577824848.44
2021-05-12,4063.04,34424997443576.08
2021-05-13,4112.5,34844058140384.2
2021-05-14,4173.85,35363859469724.64
2021-05-17,4163.29,35274387553867.51
2021-05-18,4127.83,34973944927324.52
2021-05-19,4115.68,34871001387772.99
2021-05-20,4159.12,35239056314367.1
2021-05-21,4155.86,35211435249433.93
2021-05-24,4197.05,35560426557592.58
2021-05-25,4188.13,35484849901395.08
2021-05-26,4195.99,35551445475129.65
2021-05-27,4200.88,35592877072529.4
2021-05-28,4204.11,35620243955883.42
2021-06-01,4202.04,35602705426922.8
2021-06-02,4208.12,35654219560295.08
2021-06-03,4192.85,35524841136513.04
2021-06-04,4229.89,35838670659557.38
2021-06-07,4226.52,35810117595500.7
2021-06-08,4227.26,35816387407786.14
2021-06-09,4219.55,35751062741947.26
2021-06-10,4239.18,35917382221897.6
2021-06-11,4247.44,35987366883354.02
2021-06-14,4255.15,36052691549192.9
2021-06-15,4246.59,35980165071945.08
2021-06-16,4223.7,35786224527061.57
2021-06-17,4221.86,35770634723541.01
2021-06-18,4166.45,35301161346870.2
