"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2013","47.29","46.94","47.40","46.91","1.85M","0.83%"
"02/08/2013","46.90","46.93","47.06","46.50","2.07M","0.51%"
"02/07/2013","46.66","47.07","47.23","46.42","2.58M","-0.74%"
"02/06/2013","47.01","47.00","47.45","46.87","2.32M","-0.02%"
"02/05/2013","47.02","46.54","47.44","46.48","2.53M","1.34%"
"02/04/2013","46.40","46.78","46.86","46.17","2.71M","-0.43%"
"02/01/2013","46.60","46.62","46.85","46.16","2.15M","0.82%"
"01/31/2013","46.22","46.50","46.71","46.18","3.68M","-1.07%"
"01/30/2013","46.72","47.14","47.31","46.66","2.20M","-0.70%"
"01/29/2013","47.05","47.01","47.38","46.83","1.63M","0.11%"
"01/28/2013","47.00","47.50","47.59","46.89","2.39M","-0.30%"
"01/25/2013","47.14","47.34","47.53","46.99","2.43M","0.49%"
"01/24/2013","46.91","46.89","46.98","46.48","2.99M","0.36%"
"01/23/2013","46.74","47.13","47.20","46.65","2.16M","-0.74%"
"01/22/2013","47.09","47.11","47.43","46.28","3.12M","0.09%"
"01/18/2013","47.05","47.00","47.09","46.59","2.59M","0.28%"
"01/17/2013","46.92","46.80","47.11","46.73","2.47M","0.88%"
"01/16/2013","46.51","46.76","47.10","46.43","4.24M","-0.43%"
"01/15/2013","46.71","46.78","46.94","46.18","2.68M","-0.30%"
"01/14/2013","46.85","46.64","46.97","46.36","2.33M","1.04%"
"01/11/2013","46.37","46.20","46.44","45.86","2.19M","0.78%"
"01/10/2013","46.01","46.55","46.67","45.84","3.33M","-0.82%"
"01/09/2013","46.39","45.61","46.50","45.61","2.54M","1.69%"
"01/08/2013","45.62","46.02","46.06","45.56","3.35M","-0.89%"
"01/07/2013","46.03","45.20","46.07","45.15","3.33M","1.45%"
"01/04/2013","45.37","45.66","46.05","45.16","3.28M","-0.46%"
"01/03/2013","45.58","45.70","45.74","45.21","2.84M","-0.39%"
"01/02/2013","45.76","46.49","46.50","45.38","4.34M","0.64%"
"12/31/2012","45.47","44.18","45.48","44.16","3.52M","2.39%"
"12/28/2012","44.41","44.36","44.60","44.15","2.34M","0.05%"
"12/27/2012","44.39","44.43","44.51","44.08","3.38M","-0.58%"
"12/26/2012","44.65","45.41","45.44","44.61","2.23M","-1.76%"
"12/24/2012","45.45","45.66","45.86","45.34","1.29M","-0.18%"
"12/21/2012","45.53","46.00","46.43","45.49","4.95M","-1.94%"
"12/20/2012","46.43","46.54","46.65","46.30","2.89M","0.15%"
"12/19/2012","46.36","46.40","46.60","46.05","2.99M","-0.41%"
"12/18/2012","46.55","46.44","46.63","46.10","3.28M","0.47%"
"12/17/2012","46.33","46.64","46.65","45.99","3.18M","-0.62%"
