"date","index","ticker","market_cap","company_name"
"2012-01-24","505","XOM","417871848593.70","Exxon Mobil Corporation"
"2012-01-25","505","XOM","418063576902.30","Exxon Mobil Corporation"
"2012-01-26","505","XOM","415906633430.55","Exxon Mobil Corporation"
"2012-01-27","415","AAPL","415705641813.94","Apple Inc."
"2012-01-30","415","AAPL","421031150058.43","Apple Inc."
"2012-01-31","415","AAPL","424256196063.38","Apple Inc."
"2012-02-01","415","AAPL","423986667722.91","Apple Inc."
"2012-02-02","415","AAPL","422992201087.38","Apple Inc."
"2012-02-03","415","AAPL","427230301889.27","Apple Inc."
"2012-02-06","415","AAPL","431217462512.11","Apple Inc."
"2012-02-07","415","AAPL","435734385735.18","Apple Inc."
"2012-02-08","415","AAPL","443030239089.32","Apple Inc."
"2012-02-09","415","AAPL","458356178173.36","Apple Inc."
"2012-02-10","415","AAPL","458588530191.01","Apple Inc."
"2012-02-13","415","AAPL","467120496279.04","Apple Inc."
"2012-02-14","415","AAPL","473496235643.29","Apple Inc."
"2012-02-15","415","AAPL","462538514491.02","Apple Inc."
"2012-02-16","415","AAPL","466758027131.51","Apple Inc."
"2012-02-17","415","AAPL","466674380405.15","Apple Inc."
"2012-02-21","415","AAPL","478505745143.78","Apple Inc."
"2012-02-22","415","AAPL","476823516536.01","Apple Inc."
"2012-02-23","415","AAPL","479937033572.49","Apple Inc."
"2012-02-24","415","AAPL","485532070157.44","Apple Inc."
"2012-02-27","415","AAPL","488645587193.92","Apple Inc."
"2012-02-28","415","AAPL","497614375075.13","Apple Inc."
"2012-02-29","415","AAPL","504148113811.38","Apple Inc."
"2012-03-01","415","AAPL","506034812194.68","Apple Inc."
"2012-03-02","415","AAPL","506694691924.80","Apple Inc."
"2012-03-05","415","AAPL","495523206916.30","Apple Inc."
"2012-03-06","415","AAPL","492827923511.58","Apple Inc."
"2012-03-07","415","AAPL","493227568981.94","Apple Inc."
"2012-03-08","415","AAPL","503729880179.62","Apple Inc."
"2012-03-09","415","AAPL","506685397844.10","Apple Inc."
"2012-03-12","415","AAPL","513033254966.23","Apple Inc."
"2012-03-13","415","AAPL","527996724902.75","Apple Inc."
"2012-03-14","415","AAPL","547960410259.04","Apple Inc."
"2012-03-15","415","AAPL","544224189815.27","Apple Inc."
"2012-03-16","415","AAPL","544233483895.97","Apple Inc."
"2012-03-19","415","AAPL","558667191232.25","Apple Inc."
"2012-03-20","415","AAPL","563184114455.32","Apple Inc."
"2012-03-21","415","AAPL","559968362531.08","Apple Inc."
"2012-03-22","415","AAPL","557031433028.01","Apple Inc."
"2012-03-23","415","AAPL","553973680475.77","Apple Inc."
"2012-03-26","415","AAPL","564132110687.33","Apple Inc."
"2012-03-27","415","AAPL","571102671216.76","Apple Inc."
"2012-03-28","415","AAPL","574021012558.41","Apple Inc."
"2012-03-29","415","AAPL","566808805930.63","Apple Inc."
"2012-03-30","415","AAPL","557226608722.83","Apple Inc."
"2012-04-02","415","AAPL","576791476307.95","Apple Inc."
"2012-04-03","415","AAPL","586758501640.91","Apple Inc."
"2012-04-04","415","AAPL","582087332612.09","Apple Inc."
"2012-04-05","415","AAPL","590823630775.78","Apple Inc."
"2012-04-09","415","AAPL","593201171898.24","Apple Inc."
"2012-04-10","415","AAPL","585938016861.40","Apple Inc."
"2012-04-11","415","AAPL","583849510149.91","Apple Inc."
"2012-04-12","415","AAPL","580651484247.94","Apple Inc."
"2012-04-13","415","AAPL","564297730801.71","Apple Inc."
"2012-04-16","415","AAPL","540895267204.19","Apple Inc."
"2012-04-17","415","AAPL","568465420534.01","Apple Inc."
"2012-04-18","415","AAPL","567197398602.03","Apple Inc."
"2012-04-19","415","AAPL","547710885088.57","Apple Inc."
"2012-04-20","415","AAPL","534228828370.64","Apple Inc."
"2012-04-23","415","AAPL","533035395964.07","Apple Inc."
"2012-04-24","415","AAPL","522387741211.74","Apple Inc."
"2012-04-25","415","AAPL","568745131254.30","Apple Inc."
"2012-04-26","415","AAPL","566600682398.75","Apple Inc."
"2012-04-27","415","AAPL","562218547780.89","Apple Inc."
"2012-04-30","415","AAPL","544484888114.57","Apple Inc."
"2012-05-01","415","AAPL","542760005339.45","Apple Inc."
"2012-05-02","415","AAPL","546349626249.83","Apple Inc."
"2012-05-03","415","AAPL","542470970928.49","Apple Inc."
"2012-05-04","415","AAPL","527021615477.86","Apple Inc."
"2012-05-07","415","AAPL","530965536633.93","Apple Inc."
"2012-05-08","415","AAPL","529753456846.01","Apple Inc."
"2012-05-09","415","AAPL","530685825913.64","Apple Inc."
"2012-05-10","415","AAPL","531935200464.27","Apple Inc."
"2012-05-11","415","AAPL","528382874316.60","Apple Inc."
"2012-05-14","415","AAPL","520467060932.42","Apple Inc."
"2012-05-15","415","AAPL","515758597140.89","Apple Inc."
"2012-05-16","415","AAPL","509143438606.05","Apple Inc."
"2012-05-17","415","AAPL","494267490132.02","Apple Inc."
"2012-05-18","415","AAPL","494509906089.60","Apple Inc."
"2012-05-21","415","AAPL","523320110279.37","Apple Inc."
"2012-05-22","415","AAPL","519301599597.88","Apple Inc."
"2012-05-23","415","AAPL","531972495226.97","Apple Inc."
